,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,2,3,1102,3,1,2,2,1,1,2,1,94,3,2,8,4,3,5993,19479,8,1,2,11,3,1,80,0,8,0,1,6,4,0,5
1,49,1,2,279,2,8,1,2,1,2,3,2,61,2,2,7,2,2,5130,24907,1,1,1,23,4,4,80,1,10,3,3,10,7,1,7
2,37,2,3,1373,2,2,2,5,1,4,4,2,92,2,1,3,3,3,2090,2396,6,1,2,15,3,2,80,0,7,3,3,0,0,0,0
3,33,1,2,1392,2,3,4,2,1,5,4,1,56,3,1,7,3,2,2909,23159,1,1,2,11,3,3,80,0,8,3,3,8,7,3,0
4,27,1,3,591,2,2,1,4,1,7,1,2,40,3,1,3,2,2,3468,16632,9,1,1,12,3,4,80,1,6,3,3,2,2,2,2
5,32,1,2,1005,2,2,2,2,1,8,4,2,79,3,1,3,4,3,3068,11864,0,1,1,13,3,3,80,0,8,2,2,7,7,3,6
6,59,1,3,1324,2,3,3,4,1,10,3,1,81,4,1,3,1,2,2670,9964,4,1,2,20,4,1,80,3,12,3,2,1,0,0,0
7,30,1,3,1358,2,24,1,2,1,11,4,2,67,3,1,3,3,1,2693,13335,1,1,1,22,4,2,80,1,1,2,3,1,0,0,0
8,38,1,2,216,2,23,3,2,1,12,4,2,44,2,3,5,3,3,9526,8787,0,1,1,21,4,2,80,0,10,2,3,9,7,1,8
9,36,1,3,1299,2,27,3,4,1,13,3,2,94,3,2,1,3,2,5237,16577,6,1,1,13,3,2,80,2,17,3,2,7,7,7,7
10,35,1,3,809,2,16,3,4,1,14,1,2,84,4,1,3,2,2,2426,16479,0,1,1,13,3,3,80,1,6,5,3,5,4,0,3
11,29,1,3,153,2,15,2,2,1,15,4,1,49,2,2,3,3,3,4193,12682,0,1,2,12,3,4,80,0,10,3,3,9,5,0,8
12,31,1,3,670,2,26,1,2,1,16,1,2,31,3,1,7,3,1,2911,15170,1,1,1,17,3,4,80,1,5,1,2,5,2,4,3
13,34,1,3,1346,2,19,2,4,1,18,2,2,93,3,1,3,4,1,2661,8758,0,1,1,11,3,3,80,1,3,2,3,2,2,1,2
14,28,2,3,103,2,24,3,2,1,19,3,2,50,2,1,3,3,3,2028,12947,5,1,2,14,3,2,80,0,6,4,3,4,2,0,3
15,29,1,3,1389,2,21,4,2,1,20,2,1,51,4,3,5,1,1,9980,10195,1,1,1,11,3,3,80,1,10,1,3,10,9,8,8
16,32,1,3,334,2,5,2,2,1,21,1,2,80,4,1,7,2,1,3298,15053,0,1,2,12,3,4,80,2,7,5,2,6,2,0,5
